Errors:
Line Error (9): 20:06:58.087999 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (13): 20:06:58.528758 ARP, Request who-has 192.168.10.168 tell 192.168.10.91, length 46
Line Error (18): 20:06:58.888479 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (23): 20:06:59.356528 ARP, Request who-has 192.168.10.168 tell 192.168.10.91, length 46
Line Error (29): 20:06:59.888236 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (34): 20:07:00.211453 ARP, Request who-has 192.168.10.1 tell 192.168.10.18, length 46
Line Error (35): 20:07:00.211457 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (41): 20:07:00.303915 ARP, Request who-has 192.168.10.5 tell 192.168.10.206, length 46
Line Error (58): 20:07:00.356543 ARP, Request who-has 192.168.10.168 tell 192.168.10.91, length 46
Line Error (70): 20:07:00.854476 AT 65280.129.6 > 0.6:  at-#6 25
Line Error (77): 20:07:01.224194 ARP, Request who-has 192.168.10.5 tell 192.168.10.206, length 46
Line Error (79): 20:07:02.222597 ARP, Request who-has 192.168.10.5 tell 192.168.10.206, length 46
Line Error (83): 20:07:02.653047 AT 65280.128.6 > 0.6:  at-#6 25
Line Error (89): 20:07:03.134974 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (94): 20:07:03.824348 ARP, Request who-has 192.168.10.20 (ff:ff:ff:ff:ff:ff) tell 192.168.10.20, length 46
Line Error (95): 20:07:03.890196 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (99): 20:07:04.877086 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (100): 20:07:05.014820 ARP, Request who-has 192.168.10.1 tell 192.168.10.94, length 46
Line Error (101): 20:07:05.014824 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (119): 20:07:06.528868 ARP, Request who-has 192.168.10.168 tell 192.168.10.91, length 46
Line Error (151): 20:07:07.035035 ARP, Request who-has 192.168.10.1 tell 192.168.10.93, length 46
Line Error (152): 20:07:07.035044 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (162): 20:07:07.356947 ARP, Request who-has 192.168.10.168 tell 192.168.10.91, length 46
Line Error (166): 20:07:07.554510 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (177): 20:07:08.356914 ARP, Request who-has 192.168.10.168 tell 192.168.10.91, length 46
Line Error (180): 20:07:08.386057 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (187): 20:07:09.150802 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (188): 20:07:09.378046 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (189): 20:07:09.588184 ARP, Request who-has 192.168.10.1 tell 192.168.10.80, length 46
Line Error (190): 20:07:09.588188 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (193): 20:07:09.801620 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (201): 20:07:10.800298 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (202): 20:07:10.875559 AT 65280.129.6 > 0.6:  at-#6 25
Line Error (211): 20:07:12.459215 ARP, Request who-has 192.168.10.1 tell 192.168.10.246, length 46
Line Error (212): 20:07:12.459219 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (213): 20:07:12.476036 ARP, Request who-has 192.168.10.1 tell 192.168.10.16, length 46
Line Error (214): 20:07:12.476039 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (215): 20:07:12.674132 AT 65280.128.6 > 0.6:  at-#6 25
Line Error (217): 20:07:13.027740 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (222): 20:07:13.877130 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (239): 20:07:14.881487 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (244): 20:07:15.013349 ARP, Request who-has 192.168.10.1 tell 192.168.10.240, length 46
Line Error (245): 20:07:15.013352 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (311): 20:07:18.228905 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (315): 20:07:18.888123 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (318): 20:07:19.159023 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (326): 20:07:19.804488 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (327): 20:07:19.876816 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (333): 20:07:19.970064 ARP, Request who-has 192.168.10.157 tell 192.168.10.3, length 46
Line Error (346): 20:07:20.187128 ARP, Request who-has 192.168.10.1 (00:08:a2:0e:fd:02) tell 192.168.10.249, length 46
Line Error (347): 20:07:20.187132 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (350): 20:07:20.236883 ARP, Request who-has 192.168.10.6 tell 192.168.10.3, length 46
Line Error (361): 20:07:20.511623 ARP, Request who-has 192.168.10.1 tell 192.168.10.17, length 46
Line Error (362): 20:07:20.511627 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (376): 20:07:20.810093 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (378): 20:07:20.896609 AT 65280.129.6 > 0.6:  at-#6 25
Line Error (396): 20:07:22.695253 AT 65280.128.6 > 0.6:  at-#6 25
Line Error (399): 20:07:23.251520 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (403): 20:07:23.879504 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (405): 20:07:24.883848 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (480): 20:07:26.935662 ARP, Request who-has 192.168.10.173 (ff:ff:ff:ff:ff:ff) tell 192.168.10.37, length 46
Line Error (491): 20:07:27.600539 ARP, Request who-has 192.168.10.1 (00:08:a2:0e:fd:02) tell 192.168.10.70, length 46
Line Error (492): 20:07:27.600546 ARP, Reply 192.168.10.1 is-at 00:08:a2:0e:fd:02, length 28
Line Error (510): 20:07:28.277211 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (522): 20:07:28.889127 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (525): 20:07:29.087289 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (530): 20:07:29.228830 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (533): 20:07:29.600555 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (534): 20:07:29.812219 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (535): 20:07:29.878135 ARP, Request who-has 192.168.10.31 tell 192.168.10.173, length 46
Line Error (546): 20:07:30.600543 ARP, Request who-has 192.168.10.5 tell 192.168.10.70, length 46
Line Error (547): 20:07:30.802246 ARP, Request who-has 192.168.10.5 tell 192.168.10.139, length 46
Line Error (550): 20:07:30.917567 AT 65280.129.6 > 0.6:  at-#6 25
